wave_num,accession_id,flower_num,anther_length,pistil_length,measurer,anther_over_pistil
1,CW0001,1,9.73,8.09,AN,1.202719407
1,CW0001,2,10.19,8.48,AN,1.201650943
1,CW0001,3,9.49,8.16,AN,1.162990196
1,CW0001,4,9.89,8.19,AN,1.207570208
1,CW0001,5,9.18,7.98,AN,1.15037594
1,CW0001,6,10.19,7.64,AN,1.333769634
1,CW0001,7,9.8,8.01,CW,1.223470662
1,CW0001,8,9.46,7.18,CW,1.317548747
1,CW0001,9,9.61,7.99,CW,1.202753442
1,CW0001,10,10.07,8.43,CW,1.194543298
1,CW0001,11,9.01,8.08,CW,1.11509901
1,CW0001,12,9.46,7.99,CW,1.183979975
1,CW0002,1,6.69,6.54,CW,1.02293578
1,CW0002,2,7,6.81,SM,1.027900147
1,CW0002,3,6.97,6.68,SM,1.043413174
1,CW0002,4,6.99,6.51,SM,1.073732719
1,CW0002,5,7.24,6.93,SM,1.044733045
1,CW0002,6,7.14,6.92,SM,1.031791908
1,CW0002,7,7.01,6.93,SM,1.011544012
1,CW0002,8,7.72,7.07,SM,1.091937765
1,CW0002,9,7.33,6.81,SM,1.076358297
1,CW0002,10,7.16,6.92,SM,1.034682081
1,CW0002,11,7.58,7.13,SM,1.063113604
1,CW0002,12,7.52,6.76,SM,1.112426036
1,CW0003,1,8.82,8.72,KZ,1.01146789
1,CW0003,2,8.98,8.59,SM,1.04540163
1,CW0003,3,9,8.33,SM,1.080432173
1,CW0003,4,8.89,8.14,SM,1.092137592
1,CW0003,5,9.07,8.4,SM,1.079761905
1,CW0003,6,9.25,9.07,SM,1.019845645
1,CW0003,7,9.13,8.78,SM,1.039863326
1,CW0003,8,8.99,8.55,SM,1.051461988
1,CW0003,9,9.33,8.64,CW,1.079861111
1,CW0003,10,9.14,9,CW,1.015555556
1,CW0003,11,9.44,8.76,SM,1.077625571
1,CW0003,12,8.99,8.27,SM,1.087061669
1,CW0004,1,9.51,9.84,SM,0.9664634146
1,CW0004,2,9.45,9.85,CW,0.9593908629
1,CW0004,3,9.13,9.33,CW,0.9785637728
1,CW0004,4,9.17,9.4,CW,0.9755319149
1,CW0004,5,9.54,9.95,CW,0.9587939698
1,CW0004,6,9.66,10.14,CW,0.9526627219
1,CW0004,7,9.74,9.85,SM,0.9888324873
1,CW0004,8,9.82,10.16,SM,0.9665354331
1,CW0004,9,9.6,10.15,SM,0.9458128079
1,CW0004,10,9.7,10.17,SM,0.9537856441
1,CW0004,11,9.72,10.12,SM,0.9604743083
1,CW0004,12,8.62,9.19,SM,0.9379760609
1,CW0005,1,7.7,7,SM,1.1
1,CW0005,2,7.7,6.73,SM,1.144130758
1,CW0005,3,7.55,7.43,SM,1.01615074
1,CW0005,4,8.58,8.55,SM,1.003508772
1,CW0005,5,8.41,8.28,SM,1.015700483
1,CW0005,6,8.75,8.41,SM,1.040428062
1,CW0005,7,8.58,8.25,SM,1.04
1,CW0005,8,8.47,8.3,SM,1.020481928
1,CW0005,9,7.61,7.48,SM,1.017379679
1,CW0005,10,7.93,6.81,SM,1.164464023
1,CW0005,11,8.45,7.41,SM,1.140350877
1,CW0005,12,8.18,7.33,SM,1.115961801
1,CW0006,1,8.31,8.3,CW,1.001204819
1,CW0006,2,7.62,7.62,CW,1
1,CW0006,3,10.42,8.33,SM,1.25090036
1,CW0006,4,11.13,10.19,SM,1.092247301
1,CW0006,5,10.6,10.3,SM,1.029126214
1,CW0006,6,10.44,10.13,SM,1.030602172
1,CW0006,7,10.18,9.63,SM,1.057113188
1,CW0006,8,10.63,9.75,SM,1.09025641
1,CW0006,9,10.57,9.51,SM,1.111461619
1,CW0006,10,10.4,10.94,SM,0.9506398537
1,CW0006,11,10.56,9.47,SM,1.115100317
1,CW0006,12,9.94,9.2,SM,1.080434783
1,CW0007,1,10.69,9.83,SM,1.087487284
1,CW0007,2,10.51,12.25,SM,0.8579591837
1,CW0007,3,10.33,10.33,CW,1
1,CW0007,4,10.77,10.54,CW,1.021821632
1,CW0007,5,11.39,10.95,CW,1.040182648
1,CW0007,6,7.56,7.66,CW,0.9869451697
1,CW0007,7,7.14,7.14,CW,1
1,CW0007,8,10.59,10.69,SM,0.990645463
1,CW0007,9,10.89,10.11,SM,1.077151335
1,CW0007,10,10.04,9.57,CW,1.049111808
1,CW0007,11,10.54,10.45,CW,1.00861244
1,CW0007,12,9.47,10.27,CW,0.9221032132
1,CW0008,1,10.05,9.6,SM,1.046875
1,CW0008,2,10.54,9.54,SM,1.104821803
1,CW0008,3,7.03,6.86,SM,1.024781341
1,CW0008,4,9.83,9.83,CW,1
1,CW0008,5,10.4,10.37,CW,1.00289296
1,CW0008,6,9.65,9.85,AN,0.9796954315
1,CW0008,7,9.45,9.36,AN,1.009615385
1,CW0008,8,9.81,9.35,AN,1.049197861
1,CW0008,9,10.26,9.9,AN,1.036363636
1,CW0008,10,10.25,10.68,AN,0.9597378277
1,CW0008,11,9.92,9.55,AN,1.038743455
1,CW0008,12,9.91,9.42,AN,1.052016985
1,CW0009,1,8.28,8.08,SM,1.024752475
1,CW0009,2,8.6,8.86,SM,0.9706546275
1,CW0009,3,8.19,8.28,SM,0.9891304348
1,CW0009,4,9.05,9.35,AN,0.9679144385
1,CW0009,5,8.43,8.29,AN,1.016887817
1,CW0009,6,8.52,8.52,AN,1
1,CW0009,7,8.43,8.1,AN,1.040740741
1,CW0009,8,8.52,8.87,AN,0.9605411499
1,CW0009,9,8.46,8.08,AN,1.047029703
1,CW0009,10,8.68,8.8,AN,0.9863636364
1,CW0009,11,8.45,8.43,AN,1.002372479
1,CW0009,12,8.75,8.12,AN,1.077586207
1,CW0010,1,9.07,10.43,SM,0.8696069032
1,CW0010,2,9.21,9.38,SM,0.9818763326
1,CW0010,3,8.92,8.81,AN,1.012485812
1,CW0010,4,9.62,9.88,AN,0.9736842105
1,CW0010,5,9.81,9.68,AN,1.013429752
1,CW0010,6,9.25,9.17,AN,1.0087241
1,CW0010,7,9.93,11,AN,0.9027272727
1,CW0010,8,9.59,9.67,AN,0.9917269907
1,CW0010,9,9.5,9.83,AN,0.9664292981
1,CW0010,10,9.39,9.99,AN,0.9399399399
1,CW0010,11,9.37,9.15,AN,1.024043716
1,CW0010,12,9.77,10.32,AN,0.9467054264
1,CW0011,1,6.93,5.67,YG,1.222222222
1,CW0011,2,7.43,5.95,KZ,1.248739496
1,CW0011,3,7.21,5.35,SM,1.347663551
1,CW0011,4,7.36,6.41,SM,1.148205928
1,CW0011,5,7.42,6.97,SM,1.06456241
1,CW0011,6,7.43,6.82,SM,1.089442815
1,CW0011,7,7.44,7.3,CW,1.019178082
1,CW0011,8,7.24,6.98,SM,1.037249284
1,CW0011,9,7.05,6.25,SM,1.128
1,CW0011,10,6.72,6.58,SM,1.021276596
1,CW0011,11,7.24,6.54,SM,1.107033639
1,CW0011,12,7.38,7.05,SM,1.046808511
1,CW0012,1,6.97,7.15,CW,0.9748251748
1,CW0012,2,6.81,6.89,CW,0.9883889695
1,CW0012,3,6.7,6.8,CW,0.9852941176
1,CW0012,4,7.2,7.31,SM,0.9849521204
1,CW0012,5,7.51,7.7,SM,0.9753246753
1,CW0012,6,7.65,7.76,SM,0.9858247423
1,CW0012,7,7.44,7.58,SM,0.981530343
1,CW0012,8,7.22,7.33,SM,0.9849931787
1,CW0012,9,6.92,7.11,SM,0.9732770745
