accession,name_TGRC,packet_name_1,species,burst_2h_26C_unadjusted_mean,burst_2h_26C_unadjusted_se,burst_2h_26C_mean_day,burst_2h_26C_adjusted_mean,burst_2h_26C_adjusted_se,burst_2h_34C_unadjusted_mean,burst_2h_34C_unadjusted_se,burst_2h_34C_mean_day,burst_2h_34C_adjusted_mean,burst_2h_34C_adjusted_se,unadjusted_bursting_increase,unadjusted_bursting_increase_se,adjusted_bursting_increase,adjusted_bursting_increase_se,burst_integral_26C_unadjusted_mean,burst_integral_26C_unadjusted_se,burst_integral_26C_mean_day,burst_integral_26C_adjusted_mean,burst_integral_26C_adjusted_se,burst_integral_34C_unadjusted_mean,burst_integral_34C_unadjusted_se,burst_integral_34C_mean_day,burst_integral_34C_adjusted_mean,burst_integral_34C_adjusted_se,unadjusted_integral_increase,unadjusted_integral_increase_se,adjusted_integral_increase,adjusted_integral_increase_se,tube_length_26C_adjusted_mean,tube_length_34C_adjusted_mean,tube_length_26C_adjusted_se,tube_length_34C_adjusted_se,unadjusted_tube_length_ratio,unadjusted_tube_length_ratio_se
CW0000,LA4345,LA4345,lycopersicum,0.1286393669,0.07381514345,162,0.150203447,0.04848284862,0.7383821685,0.07778772812,118.125,0.7315003114,0.05191091417,0.6097428016,0.1072362161,0.5812968644,0.07103048374,6.663829784,4.194499899,162,7.668894428,1.831094082,29.04012469,5.060082173,118.125,28.89369287,3.300139529,22.37629491,6.572538398,21.22479845,3.774099423,797.5726136,721.3890654,23.13935178,16.70090177,0.8999888468,0.08442764243
CW0001,LA0490,LA0490,lycopersicum,0.02246632006,0.008230786032,206.6666667,0.07117988774,0.05338330378,0.2968629918,0.05646909875,210.7777778,0.3746423271,0.05779554818,0.2743966718,0.05706579494,0.3034624394,0.07867720453,0.6599018123,0.2210078161,206.6666667,2.911854613,2.018136105,13.40903699,3.116620704,210.7777778,15.34556194,3.686768216,12.74913518,3.124447002,12.43370733,4.202990984,731.8648801,741.9385318,21.23150017,32.50869573,1.01376436,0.05327252214
CW0002,LA1994,LA1994,lycopersicum,0.08572136811,0.03050566365,205.25,0.1335738513,0.0553049954,0.4532820734,0.07239519637,206,0.5266957289,0.05945657649,0.3675607053,0.07855991327,0.3931218776,0.08120176725,3.61210098,1.46140013,205.25,5.824506955,2.090411043,18.64370906,3.468393413,206,20.47282326,3.791548627,15.03160808,3.763700733,14.6483163,4.329625772,714.5084766,757.3230537,20.91473457,34.6851059,1.05992172,0.05761165112
CW0003,LA2661,LA2661,lycopersicum,0.007092446853,0.00361506649,205.25,0.05494493004,0.0553049954,0.3742702162,0.05476398158,204.75,0.446541688,0.05923604902,0.3671777694,0.05488317032,0.391596758,0.08104043448,0.2309970408,0.1140013595,205.25,2.443403016,2.090411043,14.11845807,2.813283506,204.75,15.91947062,3.777419333,13.88746103,2.815592371,13.4760676,4.317257827,773.3727512,746.6816844,18.46084305,36.71725189,0.9654874487,0.05277496415
CW0004,LA3120,LA3120,lycopersicum,0.03670444649,0.01424938467,205.25,0.08455692967,0.0553049954,0.5915179932,0.06392907908,204.75,0.663789465,0.05923604902,0.5548135467,0.06549787871,0.5792325353,0.08104043448,2.275680193,1.059772162,205.25,4.488086168,2.090411043,14.62933338,3.225205735,204.75,16.43034593,3.777419333,12.35365319,3.394859212,11.94225976,4.317257827,773.41239,701.4914101,36.19001297,28.67766162,0.9070082393,0.05635731266
CW0005,LA4355,LA4355,lycopersicum,0.03910551789,0.0113328628,205.5,0.08710995716,0.05535606789,0.8201691236,0.03437634653,204.75,0.8924405954,0.05923604902,0.7810636057,0.03619622881,0.8053306382,0.08107529683,2.170567676,0.8817206256,205.5,4.389952503,2.09234675,25.90073671,1.755499264,204.75,27.70174926,3.777419333,23.73016904,1.964486938,23.31179676,4.318195426,764.6295432,661.9485863,29.82703434,32.29283214,0.8657114968,0.05407467794
CW0006,LA2375,LA2375,lycopersicum,0.02668840769,0.01473635792,205.75,0.07484480304,0.05540725499,0.4174024243,0.05466943088,205.5,0.4903592063,0.05936804901,0.3907140166,0.05662072869,0.4155144032,0.08120670631,1.449178246,0.9403579636,205.75,3.675541924,2.094286756,13.61233424,2.001860671,205.5,15.43020778,3.785876996,12.163156,2.21172314,11.75466585,4.3265346,673.7650768,695.211377,20.50020331,18.48674886,1.031830531,0.04169505218
CW0007,LA3320,LA3320,lycopersicum,0.02771325586,0.007021757375,205.25,0.07556573904,0.0553049954,0.4235575876,0.0583931047,206.25,0.4971996798,0.05950099778,0.3958443318,0.0588137718,0.4216339408,0.0812342985,1.430596376,0.4492925024,205.25,3.643002351,2.090411043,14.21790692,3.059047166,206.25,16.05264144,3.794394355,12.78731054,3.091865669,12.40963909,4.332118056,770.9502108,697.8481029,17.41825314,19.90936127,0.9051792102,0.03294149451
CW0008,LA4792,LA4792,lycopersicum,0.03300599652,0.01365921541,207.25,0.0820741284,0.05571676698,0.8370846685,0.04835226631,205.75,0.9102698872,0.05941226016,0.804078672,0.05024456013,0.8281957588,0.08145044371,1.242424457,0.5844917383,207.25,3.510661245,2.106016397,29.00143806,2.123831252,205.75,30.82493193,3.788709503,27.7590136,2.202791361,27.31427068,4.334700077,732.5630982,756.0169601,21.75674833,18.09321305,1.032016166,0.03936318252
CW0010,,BGV008224,lycopersicum,0.06570699727,0.01711966113,215.6666667,0.1198909841,0.05539118874,0.7719635517,0.03766083576,216,0.8545146766,0.05676091209,0.7062565545,0.04136932858,0.7346236925,0.07930942524,3.153663517,0.9891797225,215.6666667,5.656854977,2.094186597,26.2719371,2.195822154,216,28.3258645,3.621783169,23.11827359,2.408342055,22.66900953,4.183650419,780.5011235,672.7272571,18.14736577,26.70063634,0.86191709,0.03964736146
