sample_name	library_name	fq1	fq2	sra
CW0008	SRR7279494	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183297_SRR7279494_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183297_SRR7279494_2.fastq.gz	SRR7279494
CW0010	SRR7279547	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183244_SRR7279547_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183244_SRR7279547_2.fastq.gz	SRR7279547
CW0011	SRR7279560	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183231_SRR7279560_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183231_SRR7279560_2.fastq.gz	SRR7279560
CW0012	SRR7279726	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183065_SRR7279726_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183065_SRR7279726_2.fastq.gz	SRR7279726
CW0014	SRR7279550	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183241_SRR7279550_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183241_SRR7279550_2.fastq.gz	SRR7279550
CW0016	SRR7279517	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183274_SRR7279517_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183274_SRR7279517_2.fastq.gz	SRR7279517
CW0018	SRR7279519	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183272_SRR7279519_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183272_SRR7279519_2.fastq.gz	SRR7279519
CW0019	SRR7279511	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183280_SRR7279511_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183280_SRR7279511_2.fastq.gz	SRR7279511
CW0020	SRR7279567	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183224_SRR7279567_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183224_SRR7279567_2.fastq.gz	SRR7279567
CW0021	SRR7279572	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183219_SRR7279572_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183219_SRR7279572_2.fastq.gz	SRR7279572
CW0022	SRR7279630	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183161_SRR7279630_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183161_SRR7279630_2.fastq.gz	SRR7279630
CW0023	SRR7279486	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183305_SRR7279486_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183305_SRR7279486_2.fastq.gz	SRR7279486
CW0024	SRR7279691	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183100_SRR7279691_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183100_SRR7279691_2.fastq.gz	SRR7279691
CW0027	SRR7279591	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183200_SRR7279591_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183200_SRR7279591_2.fastq.gz	SRR7279591
CW0028	SRR7279531	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183260_SRR7279531_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183260_SRR7279531_2.fastq.gz	SRR7279531
CW0029	SRR7279533	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183258_SRR7279533_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183258_SRR7279533_2.fastq.gz	SRR7279533
CW0034	SRR7279574	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183217_SRR7279574_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183217_SRR7279574_2.fastq.gz	SRR7279574
CW0038	SRR7279620	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183171_SRR7279620_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183171_SRR7279620_2.fastq.gz	SRR7279620
CW0039	SRR7279555	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183236_SRR7279555_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183236_SRR7279555_2.fastq.gz	SRR7279555
CW0040	SRR7279549	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183242_SRR7279549_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183242_SRR7279549_2.fastq.gz	SRR7279549
CW0042	SRR7279604	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183187_SRR7279604_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183187_SRR7279604_2.fastq.gz	SRR7279604
CW0043	SRR7279618	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183173_SRR7279618_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183173_SRR7279618_2.fastq.gz	SRR7279618
CW0045	SRR7279708	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183083_SRR7279708_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183083_SRR7279708_2.fastq.gz	SRR7279708
CW0047	SRR7279590	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183201_SRR7279590_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183201_SRR7279590_2.fastq.gz	SRR7279590
CW0048	SRR7279510	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183281_SRR7279510_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183281_SRR7279510_2.fastq.gz	SRR7279510
CW0049	SRR7279678	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183113_SRR7279678_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183113_SRR7279678_2.fastq.gz	SRR7279678
CW0051	SRR7279496	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183295_SRR7279496_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183295_SRR7279496_2.fastq.gz	SRR7279496
CW0052	SRR7279561	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183230_SRR7279561_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183230_SRR7279561_2.fastq.gz	SRR7279561
CW0053	SRR7279644	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183147_SRR7279644_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183147_SRR7279644_2.fastq.gz	SRR7279644
CW0054	SRR7279622	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183169_SRR7279622_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183169_SRR7279622_2.fastq.gz	SRR7279622
CW0055	SRR7279621	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183170_SRR7279621_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183170_SRR7279621_2.fastq.gz	SRR7279621
CW0056	SRR7279679	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183112_SRR7279679_1.fastq.gz	/xdisk/rpalaniv/cjperkins1/kmers-gwas/genomes/varitome/fastq/SRX4183112_SRR7279679_2.fastq.gz	SRR7279679
